,seed,num_bags,duplicate_bags,total_weight,total_value,fitness,id,name
0,0,65,False,284.60000000000025,4117.0,1.8801174578236648,13,t4_p100_m4.csv
1,1,61,False,284.8000000000002,3944.0,1.850080050873453,13,t4_p100_m4.csv
2,2,65,False,284.4000000000002,4182.0,1.8909650993154536,13,t4_p100_m4.csv
3,3,63,False,284.8000000000002,4101.0,1.8779762839935668,13,t4_p100_m4.csv
4,4,60,False,284.20000000000016,3912.0,1.692288931283433,13,t4_p100_m4.csv
5,5,61,False,284.4000000000002,4080.0,1.8728414319380549,13,t4_p100_m4.csv
6,6,61,False,284.5000000000002,4077.0,1.8726592600905256,13,t4_p100_m4.csv
7,7,62,False,284.7000000000001,4056.0,1.869629671192908,13,t4_p100_m4.csv
8,8,59,False,283.3000000000002,3950.0,1.84588299105974,13,t4_p100_m4.csv
9,9,65,False,284.2000000000002,4209.0,1.8950607862940945,13,t4_p100_m4.csv
10,10,62,False,284.3000000000002,3980.0,1.8547222533946812,13,t4_p100_m4.csv
11,11,62,False,284.9000000000003,4056.0,1.8703314255788737,13,t4_p100_m4.csv
12,12,60,False,284.3000000000002,3651.0,1.6462645419518953,13,t4_p100_m4.csv
13,13,61,False,285.0,4099.0,1.8783226723525237,13,t4_p100_m4.csv
14,14,63,False,285.0,4024.0,1.86499644633973,13,t4_p100_m4.csv
0,0,64,False,284.90000000000015,4026.0,1.865000935173756,14,t4_p100_m10.csv
1,1,64,False,284.8000000000002,4011.0,1.8619848127782148,14,t4_p100_m10.csv
2,2,60,False,285.0,4137.0,1.885074626865672,14,t4_p100_m10.csv
3,3,59,False,284.90000000000015,4034.0,1.866422399281787,14,t4_p100_m10.csv
4,4,64,False,284.2000000000002,4061.0,1.868763700295516,14,t4_p100_m10.csv
5,5,62,False,283.9000000000002,4193.0,1.8911652264990844,14,t4_p100_m10.csv
6,6,60,False,285.0,4018.0,1.8639303482587064,14,t4_p100_m10.csv
7,7,63,False,284.90000000000015,4140.0,1.8852567987132012,14,t4_p100_m10.csv
8,8,60,False,284.4000000000001,4048.0,1.8671555755059293,14,t4_p100_m10.csv
9,9,64,False,284.60000000000014,4203.0,1.8953981969850004,14,t4_p100_m10.csv
10,10,63,False,284.30000000000024,4213.0,1.8961223955410924,14,t4_p100_m10.csv
11,11,60,False,283.7000000000001,4124.0,1.8782033441813493,14,t4_p100_m10.csv
12,12,58,False,284.8000000000002,4056.0,1.869980548385891,14,t4_p100_m10.csv
13,13,65,False,284.3000000000001,4195.0,1.8929241012980216,14,t4_p100_m10.csv
14,14,64,False,284.1000000000001,4182.0,1.8899124677365056,14,t4_p100_m10.csv
0,0,56,False,284.7000000000003,3503.0,1.621370964725247,15,t5_p50_m1.csv
1,1,61,False,283.30000000000024,3802.0,1.6695859050611612,15,t5_p50_m1.csv
2,2,59,False,282.70000000000016,3970.0,1.847331388171923,15,t5_p50_m1.csv
3,3,52,False,282.8000000000002,3153.0,1.5525152433322118,15,t5_p50_m1.csv
4,4,57,False,284.0000000000003,3700.0,1.6539183780346398,15,t5_p50_m1.csv
5,5,60,False,284.20000000000016,3447.0,1.6096663300041154,15,t5_p50_m1.csv
6,6,57,False,282.3000000000003,3527.0,1.6172143044177618,15,t5_p50_m1.csv
7,7,61,False,284.2000000000002,3717.0,1.657640743650171,15,t5_p50_m1.csv
8,8,61,False,284.7000000000003,3723.0,1.660461227696107,15,t5_p50_m1.csv
9,9,59,False,278.9000000000003,3636.0,1.6246519283282843,15,t5_p50_m1.csv
10,10,61,False,284.1000000000002,3771.0,1.6668847491863996,15,t5_p50_m1.csv
11,11,58,False,283.2000000000002,3561.0,1.6264134216137367,15,t5_p50_m1.csv
12,12,62,False,282.50000000000017,3821.0,1.6701548647738758,15,t5_p50_m1.csv
13,13,60,False,276.9000000000002,3948.0,1.8230714846818548,15,t5_p50_m1.csv
14,14,59,False,284.7000000000002,3566.0,1.632564994575993,15,t5_p50_m1.csv
0,0,58,False,284.7000000000001,3697.0,1.6558414693450048,16,t10_p100_m4.csv
1,1,60,False,284.30000000000024,3468.0,1.61374855048068,16,t10_p100_m4.csv
2,2,60,False,284.8000000000002,3911.0,1.694216511427824,16,t10_p100_m4.csv
3,3,57,False,284.7000000000003,3473.0,1.6160404743201298,16,t10_p100_m4.csv
4,4,58,False,283.30000000000024,3853.0,1.6786477387498606,16,t10_p100_m4.csv
5,5,55,False,283.4000000000002,3358.0,1.5910455242584078,16,t10_p100_m4.csv
6,6,59,False,284.50000000000034,3549.0,1.628842628960462,16,t10_p100_m4.csv
7,7,64,False,283.6000000000002,4019.0,1.8591957505704568,16,t10_p100_m4.csv
8,8,56,False,284.7000000000004,3398.0,1.6027142483073369,16,t10_p100_m4.csv
9,9,58,False,284.9000000000001,3612.0,1.6414401675831374,16,t10_p100_m4.csv
10,10,59,False,285.19999999999976,3943.0,1.6999028599738244,16,t10_p100_m4.csv
11,11,58,False,284.70000000000016,3950.0,1.850795271761494,16,t10_p100_m4.csv
12,12,55,False,284.30000000000024,3345.0,1.5918935398196994,16,t10_p100_m4.csv
13,13,64,False,284.3000000000001,4012.0,1.8604081098268064,16,t10_p100_m4.csv
14,14,58,False,281.4000000000002,3285.0,1.5710571204129735,16,t10_p100_m4.csv
